gene_oid,Start Coord,End Coord,Strand,GC,Locus Tag,Gene Symbol,Description,Scaffold Name,MyIMG_Annotation
2503649883,562,2076,+,0.59,PF-R124_00000010,,chromosomal replication initiator protein DnaA,Pseudomonas fluorescens R124 : PF-R124_54dc1dca3c5436daa8e66a4cefb0d40d942c3de6,
2503649884,2116,3219,+,0.61,PF-R124_00000020,,"DNA polymerase III, beta subunit( EC:2.7.7.7 )",Pseudomonas fluorescens R124 : PF-R124_54dc1dca3c5436daa8e66a4cefb0d40d942c3de6,
2503649885,3234,4337,+,0.59,PF-R124_00000030,,recF protein,Pseudomonas fluorescens R124 : PF-R124_54dc1dca3c5436daa8e66a4cefb0d40d942c3de6,
2503649886,4343,6760,+,0.58,PF-R124_00000040,,"DNA gyrase, B subunit( EC:5.99.1.3 )",Pseudomonas fluorescens R124 : PF-R124_54dc1dca3c5436daa8e66a4cefb0d40d942c3de6,
2503649887,6905,9007,+,0.56,PF-R124_00000050,,hypothetical protein,Pseudomonas fluorescens R124 : PF-R124_54dc1dca3c5436daa8e66a4cefb0d40d942c3de6,
2503649888,9047,9766,-,0.62,PF-R124_00000060,,Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain,Pseudomonas fluorescens R124 : PF-R124_54dc1dca3c5436daa8e66a4cefb0d40d942c3de6,
2503649889,9935,11467,+,0.63,PF-R124_00000070,,"His Kinase A (phosphoacceptor) domain./Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase.",Pseudomonas fluorescens R124 : PF-R124_54dc1dca3c5436daa8e66a4cefb0d40d942c3de6,
2503649890,11636,12415,-,0.59,PF-R124_00000080,,1-acyl-sn-glycerol-3-phosphate acyltransferase( EC:2.3.1.51 ),Pseudomonas fluorescens R124 : PF-R124_54dc1dca3c5436daa8e66a4cefb0d40d942c3de6,
2503649891,12498,13031,-,0.6,PF-R124_00000090,,"histidinol-phosphate phosphatase family domain/HAD-superfamily hydrolase, subfamily IIIA( EC:3.1.3.- )",Pseudomonas fluorescens R124 : PF-R124_54dc1dca3c5436daa8e66a4cefb0d40d942c3de6,
2503649892,13042,15096,-,0.63,PF-R124_00000100,,"glycyl-tRNA synthetase, tetrameric type, beta subunit( EC:6.1.1.14 )",Pseudomonas fluorescens R124 : PF-R124_54dc1dca3c5436daa8e66a4cefb0d40d942c3de6,
2503649893,15093,16046,-,0.62,PF-R124_00000110,,"glycyl-tRNA synthetase, tetrameric type, alpha subunit( EC:6.1.1.14 )",Pseudomonas fluorescens R124 : PF-R124_54dc1dca3c5436daa8e66a4cefb0d40d942c3de6,
2503649894,16128,16685,+,0.61,PF-R124_00000120,,DNA-3-methyladenine glycosylase I( EC:3.2.2.20 ),Pseudomonas fluorescens R124 : PF-R124_54dc1dca3c5436daa8e66a4cefb0d40d942c3de6,
2503649895,16726,17613,+,0.62,PF-R124_00000130,,Lauroyl/myristoyl acyltransferase( EC:2.3.1.- ),Pseudomonas fluorescens R124 : PF-R124_54dc1dca3c5436daa8e66a4cefb0d40d942c3de6,
2503649896,17724,17963,+,0.63,PF-R124_00000140,,PilZ domain.,Pseudomonas fluorescens R124 : PF-R124_54dc1dca3c5436daa8e66a4cefb0d40d942c3de6,
2503649897,17965,18279,-,0.6,PF-R124_00000150,,hypothetical protein,Pseudomonas fluorescens R124 : PF-R124_54dc1dca3c5436daa8e66a4cefb0d40d942c3de6,
2503649898,18433,19809,-,0.62,PF-R124_00000160,,"K+ transport systems, NAD-binding component",Pseudomonas fluorescens R124 : PF-R124_54dc1dca3c5436daa8e66a4cefb0d40d942c3de6
2503649899,19832,21142,-,0.67,PF-R124_00000170,,ribosomal RNA small subunit methyltransferase RsmB( EC:2.1.1.- ),Pseudomonas fluorescens R124 : PF-R124_54dc1dca3c5436daa8e66a4cefb0d40d942c3de6
2503649900,21139,22098,-,0.66,PF-R124_00000180,,methionyl-tRNA formyltransferase( EC:2.1.2.9 ),Pseudomonas fluorescens R124 : PF-R124_54dc1dca3c5436daa8e66a4cefb0d40d942c3de6
2503649901,22156,22803,-,0.57,PF-R124_00000190,,peptide deformylase,Pseudomonas fluorescens R124 : PF-R124_54dc1dca3c5436daa8e66a4cefb0d40d942c3de6
2503649902,22822,23847,+,0.61,PF-R124_00000200,,LysM domain.,Pseudomonas fluorescens R124 : PF-R124_54dc1dca3c5436daa8e66a4cefb0d40d942c3de6
2503649903,23930,25027,+,0.66,PF-R124_00000210,,DNA protecting protein DprA,Pseudomonas fluorescens R124 : PF-R124_54dc1dca3c5436daa8e66a4cefb0d40d942c3de6
2503649904,25083,25640,+,0.65,PF-R124_00000220,,Sua5/YciO/YrdC/YwlC family protein,Pseudomonas fluorescens R124 : PF-R124_54dc1dca3c5436daa8e66a4cefb0d40d942c3de6
2503649905,25880,26554,+,0.58,PF-R124_00000230,,hypothetical protein,Pseudomonas fluorescens R124 : PF-R124_54dc1dca3c5436daa8e66a4cefb0d40d942c3de6
2503649906,26620,27597,-,0.64,PF-R124_00000240,,NADPH:quinone reductase and related Zn-dependent oxidoreductases( EC:1.6.5.5 ),Pseudomonas fluorescens R124 : PF-R124_54dc1dca3c5436daa8e66a4cefb0d40d942c3de6
2503649907,27762,28676,+,0.64,PF-R124_00000250,,Coproporphyrinogen III oxidase( EC:1.3.3.3 ),Pseudomonas fluorescens R124 : PF-R124_54dc1dca3c5436daa8e66a4cefb0d40d942c3de6
2503649908,28686,29507,+,0.64,PF-R124_00000260,,shikimate 5-dehydrogenase( EC:1.1.1.25 ),Pseudomonas fluorescens R124 : PF-R124_54dc1dca3c5436daa8e66a4cefb0d40d942c3de6
2503649909,29598,31166,-,0.64,PF-R124_00000270,,Sulfate permease and related transporters (MFS superfamily),Pseudomonas fluorescens R124 : PF-R124_54dc1dca3c5436daa8e66a4cefb0d40d942c3de6
2503649910,31421,32341,-,0.59,PF-R124_00000280,,"choline ABC transporter, periplasmic binding protein",Pseudomonas fluorescens R124 : PF-R124_54dc1dca3c5436daa8e66a4cefb0d40d942c3de6
2503649911,32357,33871,-,0.62,PF-R124_00000290,,choline-sulfatase( EC:3.1.6.6 ),Pseudomonas fluorescens R124 : PF-R124_54dc1dca3c5436daa8e66a4cefb0d40d942c3de6
2503649912,33986,34936,+,0.61,PF-R124_00000300,,putative choline sulfate-utilization transcription factor,Pseudomonas fluorescens R124 : PF-R124_54dc1dca3c5436daa8e66a4cefb0d40d942c3de6
2503649913,34941,35603,-,0.62,PF-R124_00000310,,Putative NADH-flavin reductase,Pseudomonas fluorescens R124 : PF-R124_54dc1dca3c5436daa8e66a4cefb0d40d942c3de6
